PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;4;1;28079004_1_38;2018;03;07;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00003;V;00003;V;00000;N;00000;N
28;079;4;6;28079004_6_48;2018;03;07;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.3;V;000.4;V;000.4;V;000.4;V;000.3;V;000.3;V;000.3;V;000.4;V;000.3;V;000.3;V;000.4;V;000.4;V;000.5;V;000.5;V;000.5;V;00000;N;00000;N
28;079;4;7;28079004_7_8;2018;03;07;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00004;V;00002;V;00015;V;00010;V;00010;V;00004;V;00002;V;00002;V;00002;V;00001;V;00001;V;00002;V;00002;V;00012;V;00021;V;00019;V;00000;N;00000;N
28;079;4;8;28079004_8_8;2018;03;07;00018;V;00014;V;00010;V;00012;V;00008;V;00013;V;00040;V;00039;V;00066;V;00060;V;00053;V;00038;V;00027;V;00026;V;00026;V;00024;V;00022;V;00036;V;00045;V;00067;V;00075;V;00062;V;00000;N;00000;N
28;079;4;12;28079004_12_8;2018;03;07;00020;V;00016;V;00012;V;00014;V;00010;V;00015;V;00047;V;00042;V;00089;V;00075;V;00069;V;00043;V;00031;V;00029;V;00028;V;00025;V;00023;V;00039;V;00048;V;00086;V;00107;V;00091;V;00000;N;00000;N
28;079;8;1;28079008_1_38;2018;03;07;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00005;V;00005;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00000;N;00000;N
28;079;8;6;28079008_6_48;2018;03;07;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.2;V;000.3;V;000.4;V;000.5;V;000.5;V;000.4;V;000.3;V;000.3;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;00000;N;00000;N
28;079;8;7;28079008_7_8;2018;03;07;00005;V;00004;V;00003;V;00002;V;00001;V;00003;V;00011;V;00043;V;00067;V;00043;V;00034;V;00027;V;00022;V;00023;V;00018;V;00019;V;00022;V;00028;V;00028;V;00029;V;00025;V;00017;V;00000;N;00000;N
28;079;8;8;28079008_8_8;2018;03;07;00041;V;00038;V;00028;V;00034;V;00021;V;00028;V;00051;V;00078;V;00101;V;00078;V;00061;V;00050;V;00042;V;00044;V;00040;V;00039;V;00046;V;00060;V;00072;V;00076;V;00075;V;00064;V;00000;N;00000;N
28;079;8;9;28079008_9_47;2018;03;07;00010;V;00010;V;00001;V;00001;V;00001;V;00008;V;00004;V;00001;V;00002;V;00001;V;00001;V;00001;V;00002;V;00005;V;00007;V;00015;V;00009;V;00003;V;00009;V;00014;V;00005;V;00002;V;00000;N;00000;N
28;079;8;10;28079008_10_47;2018;03;07;00011;V;00011;V;00001;V;00001;V;00001;V;00008;V;00006;V;00003;V;00004;V;00003;V;00001;V;00001;V;00003;V;00006;V;00008;V;00016;V;00010;V;00005;V;00012;V;00017;V;00008;V;00004;V;00000;N;00000;N
28;079;8;12;28079008_12_8;2018;03;07;00048;V;00044;V;00032;V;00038;V;00023;V;00032;V;00067;V;00143;V;00203;V;00145;V;00112;V;00091;V;00076;V;00079;V;00067;V;00069;V;00081;V;00103;V;00115;V;00121;V;00113;V;00091;V;00000;N;00000;N
28;079;8;14;28079008_14_6;2018;03;07;52.39;V;50.62;V;57.88;V;53.69;V;66.67;V;59.52;V;41.82;V;26.54;V;17.69;V;33.83;V;47.96;V;55.33;V;62.77;V;61.94;V;66.11;V;68.02;V;63.15;V;51.56;V;41.09;V;37.22;V;36.34;V;38.67;V;00000;N;00000;N
28;079;8;20;28079008_20_59;2018;03;07;001.4;V;001.2;V;000.8;V;000.9;V;000.8;V;000.5;V;000.8;V;000.7;V;002.0;V;002.6;V;001.8;V;001.3;V;001.2;V;001.4;V;001.6;V;001.5;V;001.3;V;001.4;V;002.5;V;002.4;V;002.4;V;001.5;V;00000;N;00000;N
28;079;8;30;28079008_30_59;2018;03;07;000.8;V;000.7;V;000.6;V;000.6;V;000.5;V;000.4;V;000.5;V;000.6;V;001.1;V;001.3;V;000.9;V;000.7;V;000.6;V;000.7;V;000.8;V;000.7;V;000.7;V;000.7;V;001.0;V;001.0;V;001.1;V;000.9;V;00000;N;00000;N
28;079;8;35;28079008_35_59;2018;03;07;000.2;V;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.3;V;000.4;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.5;V;000.5;V;000.4;V;000.3;V;00000;N;00000;N
28;079;8;42;28079008_42_2;2018;03;07;01.46;V;01.45;V;01.44;V;01.45;V;01.44;V;01.43;V;01.44;V;01.46;V;01.48;V;01.47;V;01.45;V;01.44;V;01.43;V;01.43;V;01.43;V;01.42;V;01.43;V;01.44;V;01.45;V;01.51;V;01.61;V;01.55;V;00000;N;00000;N
28;079;8;43;28079008_43_2;2018;03;07;01.41;V;01.41;V;01.41;V;01.42;V;01.41;V;01.40;V;01.40;V;01.40;V;01.40;V;01.40;V;01.40;V;01.40;V;01.39;V;01.39;V;01.39;V;01.39;V;01.39;V;01.39;V;01.40;V;01.45;V;01.56;V;01.51;V;00000;N;00000;N
